pkIngredientID,fldIngredientName,fkIngredientCategoryID,fkDurabilityID,fkNutritionID,in_food_csv,in_food_portion_csv
217,dolmas,21,0,390038,1,0
218,ginger-garlic paste,21,0,2670745,0,0
219,honey,21,0,169640,1,1
220,kombu,21,0,387940,1,0
222,pepperoncini,7,0,1864714,1,0
223,sardines,21,0,376346,1,0
224,tortellini,21,0,380741,1,0
225,ravioli,21,0,361739,1,0
226,seaweed snacks,21,0,421478,1,0
227,smoked trout,21,0,351665,1,0
228,tahini,21,0,445121,1,0
229,tamarind,18,0,167763,1,1
230,tempeh,21,0,174272,1,1
231,canned tuna in oil,21,0,1107830,1,0
232,granola,21,0,359852,1,0
234,arugula,17,0,169387,1,1
235,asparagus,17,0,168389,1,1
236,avocado,17,0,2344719,1,1
237,red bell pepper,17,0,1,0,0
238,brussels sprouts,17,0,170383,1,1
239,cabbage,17,0,169975,1,1
240,carrots,17,0,170393,1,1
241,cauliflower,17,0,169986,1,1
242,celery,17,0,169988,1,1
243,cherry tomatoes,17,0,1195381,0,0
244,cucumber,17,0,168409,1,1
245,daikon,17,0,169276,1,1
246,eggplant,17,0,169228,1,1
247,escarole,17,0,2616848,0,0
248,fennel,17,0,169385,1,1
249,garlic,17,0,169230,1,1
250,ginger,17,0,169231,1,1
252,kale,17,0,168421,1,1
253,leeks,17,0,169246,1,1
255,potatoes,17,0,170026,1,1
256,baby potatoes,17,0,1,0,0
258,radish,17,0,169276,1,1
259,rapini,17,0,1136718,1,0
260,red onion,17,0,1,0,0
261,scallions,17,0,170005,1,1
262,shallots,17,0,170499,1,1
263,snow peas,17,0,1124930,1,0
264,spinach,17,0,168462,1,1
265,yellow squash,17,0,1,0,0
266,sugar snap peas,17,0,1109237,1,0
267,sweet potato,17,0,1,0,0
268,swiss chard,17,0,169991,1,1
269,tomatillo,17,0,168566,1,1
270,tomato,17,0,1,0,0
271,zucchini,17,0,1,0,0
272,green bell pepper,17,0,170427,1,1
273,apple,18,0,1,0,0
274,banana,18,0,173944,1,1
275,strawberries,18,0,167762,1,1
276,raspberries,18,0,167755,1,1
277,blueberries,18,0,171711,1,1
278,blackberries,18,0,173946,1,1
279,green grapes,18,0,174683,1,1
280,lemon,18,0,1,0,0
281,lime,18,0,1,0,0
282,orange,18,0,1,0,0
283,red pear,18,0,169118,1,1
284,bosc pear,18,0,167778,1,1
285,figs,18,0,173021,1,1
286,mango,18,0,169910,1,1
287,pineapple,18,0,169124,1,1
288,cantaloupe,18,0,2344722,1,1
289,honeydew melon,18,0,2344736,1,1
290,rosemary,16,0,173473,1,1
291,cilantro,16,0,169997,1,1
292,thyme,16,0,173470,1,1
293,basil,16,0,172232,1,1
294,dill,16,0,172233,1,1
295,chives,16,0,169994,1,1
296,garlic chives,16,0,169994,1,1
297,fenugreek leaves,16,0,2,0,0
298,oregano,16,0,399170,1,0
299,bay leaves,16,0,384298,1,0
300,sage,16,0,384466,1,0
301,tarragon,16,0,2670767,0,0
302,mint,16,0,173474,1,1
303,feta,23,0,402599,1,0
